epoch,train_64,test_64,train_32,test_32,train_128,test_128,train_256,test_256,train_512,test_512,train_768,test_768
0.2,86.51,85.71,86.37,85.72,85.09,84.27,83.34,82.64,79.21,78.59,71.07,70.69
0.4,89.36,88.45,87.68,86.68,88.73,87.78,87.58,86.47,83.66,82.85,82.15,81.39
0.6,90.41,89.36,89.05,87.97,89.86,88.59,89.1,88.03,87.1,86.13,84.57,83.69
0.8,91.18,89.93,89.49,88.34,91.53,90.07,90.7,89.47,89.26,88.02,86.6,85.65
1,91.89,90.55,89.45,88.25,92.08,90.65,91.67,90.32,90.48,89.27,88.05,87.03
1.2,92.06,90.63,89.94,88.7,92.61,91.1,92.47,90.86,91.59,90.16,89.36,88.1
1.4,92.12,90.6,89.73,88.58,93.17,91.33,92.87,91.12,92.22,90.47,90.35,88.97
1.6,92.3,90.82,90.19,88.98,93.35,91.43,93.46,91.45,92.84,91,91.12,89.7
1.8,92.4,90.79,90.41,89.1,93.99,91.93,93.84,91.73,93.33,91.32,91.69,90.04
2,92.4,90.82,90.38,89.13,94.01,91.89,94.04,91.79,93.78,91.67,92.2,90.47
2.2,92.48,90.81,90.53,89.36,94.15,92.02,94.35,92.07,94.32,92.1,92.55,90.71
2.4,92.63,90.98,90.35,89.09,94.46,92.14,94.75,92.21,94.61,92.11,93,90.91
2.6,92.56,91.02,90.56,89.31,94.43,92.12,95.13,92.49,94.97,92.4,93.32,91.24
2.8,92.61,90.82,90.64,89.33,94.71,92.41,95.38,92.61,95.07,92.41,93.64,91.47
3,92.39,90.89,90.68,89.49,94.59,92.26,95.57,92.73,95.53,92.6,93.88,91.49
3.2,92.82,91.11,90.55,89.35,94.83,92.45,95.48,92.77,95.6,92.57,94.23,91.69
3.4,92.97,91.25,90.58,89.28,94.84,92.29,95.8,92.76,95.97,92.68,94.52,91.86
3.6,92.68,91.04,90.94,89.63,94.59,92.25,96.15,92.98,96.17,92.88,94.68,92.02
3.8,92.92,91.07,90.74,89.47,94.98,92.43,96.25,93.05,96.21,92.85,94.8,92.01
4,92.72,91.01,90.6,89.18,94.91,92.54,96.5,93.24,96.6,93.03,95.24,92.21
4.2,93.07,91.28,90.6,89.34,94.81,92.4,96.36,93.13,96.77,93.07,95.49,92.41
4.4,92.95,91.22,90.68,89.32,94.98,92.46,96.45,93.15,96.91,93.23,95.68,92.53
4.6,93.04,91.34,90.86,89.51,94.86,92.41,96.64,93.27,96.98,93.19,95.54,92.34
4.8,93.1,91.35,90.67,89.42,94.97,92.47,96.57,93.24,97.14,93.24,95.77,92.54
5,92.79,91.09,90.78,89.45,94.93,92.53,96.69,93.1,97.15,93.21,96.27,92.59
5.2,93.32,91.45,91.1,89.85,95.09,92.57,96.78,93.38,97.37,93.19,96.38,92.73
5.4,93.14,91.31,90.93,89.59,94.97,92.45,96.92,93.22,97.28,93.37,96.54,92.72
5.6,93.21,91.44,91,89.67,94.85,92.47,96.86,93.28,97.46,93.28,96.65,92.8
5.8,93.33,91.35,90.95,89.59,95.09,92.51,96.95,93.38,97.66,93.42,96.72,92.94
6,93.11,91.26,90.68,89.32,95.08,92.45,96.9,93.17,97.71,93.41,96.9,92.66
6.2,93.39,91.53,90.92,89.76,95.04,92.49,96.89,93.35,97.77,93.41,97.11,92.86
6.4,93.28,91.38,90.99,89.5,94.95,92.35,96.85,93.07,97.73,93.46,97.24,92.95
6.6,93.2,91.5,91.06,89.63,94.85,92.45,96.91,93.28,97.87,93.4,97.45,92.97
6.8,93.35,91.5,90.87,89.45,95.17,92.69,96.8,93.16,98,93.57,97.32,92.9
7,93.15,91.3,90.77,89.32,95.22,92.7,96.92,93.25,98.05,93.51,97.62,92.93
7.2,93.27,91.5,91.07,89.75,95.01,92.46,96.94,93.46,98,93.49,97.61,93.1
